,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,Namatanai,-3.67,152.43,29.38,65,57,2.3,PG,1604097508
245,Clyde River,70.47,-68.59,-10.0,92,75,6.2,CA,1604097509
246,Berbera,10.44,45.01,28.05,71,0,1.75,SO,1604097467
247,Buraidah,26.33,43.98,18.0,26,0,3.84,SA,1604097501
248,Touros,-5.2,-35.46,26.0,83,40,3.1,BR,1604097510
249,Batié,9.88,-2.92,25.82,43,1,0.49,BF,1604097511
250,Pemangkat,1.17,108.97,25.14,91,87,2.73,ID,1604097512
251,Rio Claro,-22.41,-47.56,20.0,82,75,7.2,BR,1604097512
252,Mittweida,50.98,12.98,12.22,95,100,6.13,DE,1604097513
253,Guerrero Negro,27.98,-114.06,26.0,27,22,5.23,MX,1604097513
254,Carros,43.79,7.18,15.0,87,40,3.1,FR,1604097514
255,Udachny,66.42,112.4,-18.0,91,90,0.93,RU,1604097514
256,Balabac,7.99,117.06,27.37,82,100,3.5,PH,1604097515
257,Mendi,-6.18,143.65,18.03,80,50,0.86,PG,1604097515
258,Cape Town,-33.93,18.42,14.44,58,0,9.8,ZA,1604097054
259,Keroka,-0.78,34.95,12.64,96,52,1.9,KE,1604097516
260,Kaitangata,-46.28,169.85,17.78,89,100,3.13,NZ,1604097517
261,Paka,4.64,103.44,25.0,94,85,1.32,MY,1604097517
262,Barrow,71.29,-156.79,-10.0,85,90,5.7,US,1604097518
263,Flinders,-34.58,150.86,17.78,95,100,1.79,AU,1604097518
264,Hithadhoo,-0.6,73.08,28.32,76,88,4.86,MV,1604097519
265,Taunton,51.02,-3.1,15.0,92,100,3.13,GB,1604097519
266,Lavrentiya,65.58,-171.0,-5.12,86,80,3.85,RU,1604097520
267,Muli,2.92,73.57,27.85,75,98,4.16,MV,1604097520
268,Doha,25.29,51.53,27.0,65,0,2.6,QA,1604097273
269,Sobolevo,54.43,31.9,8.06,97,100,1.08,RU,1604097522
270,Taoudenni,22.68,-3.98,25.09,18,99,4.57,ML,1604097522
271,Vaini,-21.2,-175.2,25.0,69,40,5.1,TO,1604097523
272,Codrington,-38.27,141.97,13.04,82,47,5.55,AU,1604097523
273,Gachsaran,30.36,50.8,17.0,27,0,1.2,IR,1604097524
274,Hermanus,-34.42,19.23,7.22,91,0,5.24,ZA,1604097524
275,Kokopo,-4.35,152.26,27.68,76,91,0.64,PG,1604097525
276,Manacapuru,-3.3,-60.62,28.0,78,20,1.5,BR,1604097526
277,Ranau,5.95,116.66,24.0,94,20,1.0,MY,1604097526
278,Port Blair,11.67,92.75,26.86,84,92,5.04,IN,1604097527
279,Ubari,26.59,12.78,16.41,48,3,4.06,LY,1604097528
280,Mabaruma,8.2,-59.78,25.47,91,99,2.03,GY,1604097528
281,Birao,10.28,22.79,24.25,43,45,0.99,CF,1604097529
282,Ihosy,-22.4,46.12,14.29,81,11,4.97,MG,1604097529
283,Bria,6.54,21.99,20.64,95,90,0.58,CF,1604097530
284,Necochea,-38.55,-58.74,15.0,61,0,1.79,AR,1604097531
285,Jacqueville,5.21,-4.41,26.0,94,20,0.5,CI,1604097531
286,Longyearbyen,78.22,15.64,-8.0,72,0,1.5,SJ,1604097532
287,Kapoeta,4.77,33.59,25.54,54,83,1.74,SS,1604097532
288,Kushmurun,52.45,64.63,1.65,83,14,3.25,KZ,1604097533
289,Bluff,-46.6,168.33,12.22,98,100,4.92,NZ,1604097533
290,Kolokani,13.57,-8.03,25.17,25,0,1.39,ML,1604097534
291,Lae,-6.72,146.98,29.47,62,99,1.84,PG,1604097395
292,Bom Jesus,-9.07,-44.36,26.76,66,84,0.47,BR,1604097535
293,Jamestown,42.1,-79.24,2.22,93,90,1.5,US,1604097536
294,Kapaa,22.08,-159.32,28.89,69,75,4.1,US,1604097536
295,Riyadh,24.69,46.72,18.0,48,0,1.69,SA,1604097467
296,Nova Olinda do Norte,-3.89,-59.09,28.06,69,91,0.49,BR,1604097537
297,Butaritari,3.07,172.79,28.09,77,70,9.59,KI,1604097539
298,Namalenga,-10.95,39.1,21.56,89,62,0.89,TZ,1604097539
299,Kālānwāli,29.85,74.95,16.94,29,0,1.68,IN,1604097540
300,Pangody,65.85,74.49,0.98,97,100,6.01,RU,1604097540
301,Norman Wells,65.28,-126.83,-10.0,92,90,2.1,CA,1604097541
302,Leland,34.26,-78.04,20.0,45,1,3.6,US,1604097542
303,Rio Grande,-32.03,-52.1,16.11,76,21,1.34,BR,1604097356
304,Safaga,26.73,33.94,25.0,57,0,2.6,EG,1604097262
305,Lumphat,13.49,106.98,21.29,95,1,1.2,KH,1604097543
306,Nador,35.17,-2.93,18.0,82,0,1.5,MA,1604097362
307,Georgiyevka,43.04,74.71,-2.0,92,0,1.0,KZ,1604097544
308,Kiryat Gat,31.61,34.76,23.89,100,45,2.14,IL,1604097545
309,Bundaberg,-24.85,152.35,27.78,57,40,9.3,AU,1604097545
310,Tibiri,13.56,7.05,28.5,16,0,4.43,NE,1604097546
311,Kainantu,-6.29,145.87,20.59,75,96,1.13,PG,1604097546
312,Bontang,0.13,117.5,25.03,88,90,2.63,ID,1604097547
313,Ukiah,39.15,-123.21,28.0,16,1,1.5,US,1604097547
314,Bereda,43.27,-7.54,12.78,98,1,1.79,ES,1604097548
315,Severnyy,50.68,36.55,8.0,87,90,3.0,RU,1604097548
316,Malindi,-3.22,40.12,24.47,86,85,3.5,KE,1604097356
317,Big Rapids,43.7,-85.48,2.0,59,90,2.6,US,1604097549
318,Luanda,-8.84,13.23,25.0,88,40,2.6,AO,1604097550
319,Bartica,6.4,-58.62,28.0,78,20,5.1,GY,1604097550
320,Egvekinot,66.32,-179.17,-9.59,84,36,3.71,RU,1604097551
321,Santa Cruz de la Sierra,-17.8,-63.17,28.0,34,40,6.2,BO,1604097532
322,Aripuanã,-9.17,-60.63,25.27,84,100,0.31,BR,1604097552
323,Barcelos,41.54,-8.62,15.0,82,0,3.1,PT,1604097552
324,San Cristobal,7.77,-72.22,30.0,62,40,2.6,VE,1604097553
325,Gravdal,68.12,13.5,3.0,51,0,3.1,NO,1604097553
326,Chetwayi,10.53,76.05,26.0,94,20,2.29,IN,1604097554
327,Castro,-24.79,-50.01,12.17,93,100,4.96,BR,1604097555
328,Hammerfest,70.66,23.68,1.0,69,75,2.1,NO,1604097555
329,Snezhnogorsk,69.19,33.25,-4.0,100,0,6.19,RU,1604097556
330,Mangaratiba,-22.96,-44.04,20.0,94,90,7.7,BR,1604097556
331,Port Alfred,-33.59,26.89,15.49,63,83,1.66,ZA,1604097557
332,Plettenberg Bay,-34.05,23.37,11.82,69,0,1.29,ZA,1604097557
333,Margate,51.38,1.39,14.44,89,81,1.79,GB,1604097558
334,Ekibastuz,51.67,75.37,2.68,82,100,1.75,KZ,1604097558
335,Havre-St-Pierre,50.23,-63.6,-2.0,58,1,1.5,CA,1604097559
336,Remanso,-9.62,-42.08,27.23,59,56,2.39,BR,1604097560
337,Walvis Bay,-22.96,14.51,13.33,71,66,2.1,NA,1604097561
338,Hobyo,5.35,48.53,26.87,79,31,5.66,SO,1604097562
339,Kismayo,-0.36,42.55,26.28,81,12,4.89,SO,1604097562
340,Belaya Gora,68.53,146.42,-15.91,94,95,1.39,RU,1604097303
341,Mezen',65.85,44.24,0.23,96,87,3.89,RU,1604097563
342,Richards Bay,-28.78,32.04,19.89,84,98,6.94,ZA,1604097455
343,Lusambo,-4.97,23.45,20.45,90,13,0.25,CD,1604097565
344,Pevek,69.7,170.31,-6.19,95,93,1.91,RU,1604097565
345,Bengkulu,-3.8,102.27,23.81,87,65,1.69,ID,1604097567
346,Kalmunai,7.42,81.82,25.6,83,94,3.7,LK,1604097567
347,Zanzibar,-6.16,39.2,26.0,78,75,1.5,TZ,1604097568
348,Verkhnyaya Syrovatka,50.83,34.96,8.06,80,100,3.3,UA,1604097568
349,Borba,-4.39,-59.59,27.68,74,100,1.21,BR,1604097569
350,Gambēla,8.25,34.58,21.39,93,100,1.94,ET,1604097569
351,Fortuna,40.6,-124.16,16.67,62,1,5.1,US,1604097570
352,Nelson Bay,-32.72,152.15,23.89,77,40,2.1,AU,1604097570
353,Kishanganj,26.12,87.93,21.4,68,21,1.92,IN,1604097571
354,Codó,-4.46,-43.89,29.16,53,83,3.25,BR,1604097571
355,Kalanguy,51.02,116.52,-2.76,95,100,5.89,RU,1604097572
356,Utinga,-5.82,-35.4,27.0,83,40,3.1,BR,1604097572
357,Dzheguta,43.97,42.04,12.52,41,32,2.13,RU,1604097573
358,Urengoy,65.97,78.37,-5.19,98,95,5.77,RU,1604097281
359,Bac Lieu,9.29,105.72,25.68,84,0,0.87,VN,1604097574
360,Nanga Eboko,4.68,12.37,20.81,91,12,0.9,CM,1604097576
361,Gornyy,55.12,83.91,0.86,100,100,5.54,RU,1604097576
362,Praia,14.92,-23.51,26.0,74,20,9.8,CV,1604097577
363,Qaqortoq,60.72,-46.03,-4.0,73,40,1.5,GL,1604097385
364,Launceston,-41.45,147.17,14.44,87,90,5.1,AU,1604097578
365,Turukhansk,65.82,87.98,-14.86,91,100,4.44,RU,1604097579
366,Atuona,-9.8,-139.03,25.5,72,82,4.97,PF,1604097579
367,Sitrah,26.15,50.62,27.0,61,0,2.1,BH,1604097580
368,Luau,-10.71,22.22,18.36,93,55,1.27,AO,1604097580
369,Kukmor,56.19,50.89,2.61,88,100,3.74,RU,1604097581
370,Bangassou,4.74,22.82,20.13,96,100,0.46,CF,1604097581
371,Saint George,37.1,-113.58,25.56,16,1,1.33,US,1604097582
372,Palmeirais,-5.98,-43.06,30.92,39,71,0.63,BR,1604097582
